tessellator,primitive,amount,init_time,tess_time
Lyon,triangle,10,19637,5695
Lyon,triangle,10,27184,8065
Lyon,triangle,10,27044,7438
Lyon,triangle,10,26345,7156
Lyon,triangle,10,18897,5326
Lyon,triangle,10,17280,5044
Lyon,triangle,10,16805,4982
Lyon,triangle,10,19021,5250
Lyon,triangle,10,18712,5282
Lyon,triangle,10,19190,5428
Lyon,triangle,10,19406,5310
Lyon,triangle,10,18895,5248
Lyon,triangle,10,19126,5127
Lyon,triangle,10,18845,5261
Lyon,triangle,10,18797,5121
Lyon,triangle,10,18715,5214
Lyon,triangle,10,19015,5195
Lyon,triangle,10,18837,5214
Lyon,triangle,10,16849,4980
Lyon,triangle,10,16603,5170
Lyon,triangle,10,16801,4896
Lyon,triangle,10,16578,5104
Lyon,triangle,10,16705,4955
Lyon,triangle,10,16925,4927
Lyon,triangle,10,16797,5088
Lyon,triangle,10,16691,4996
Lyon,triangle,10,16883,6883
Lyon,triangle,10,24832,6286
Lyon,triangle,10,18635,5121
Lyon,triangle,10,20004,7120
Lyon,triangle,10,24451,7652
Lyon,triangle,10,25568,7349
Lyon,triangle,10,18837,5386
Lyon,triangle,10,17392,5089
Lyon,triangle,10,17199,5085
Lyon,triangle,10,17225,5186
Lyon,triangle,10,17111,5695
Lyon,triangle,10,22257,5226
Lyon,triangle,10,17156,5060
Lyon,triangle,10,16895,5411
Lyon,triangle,10,16960,5024
Lyon,triangle,10,16772,4887
Lyon,triangle,10,16816,5006
Lyon,triangle,10,16779,5154
